БиблиотекаКартинок
-1 StdPicutre.Select
-14 StdPicutre.ChooseType
-12 StdPicutre.GrayedAll
-5 StdPicutre.Calendar
-6 StdPicutre.Calculator
-7 StdPicutre.Magnifier
-2 StdPicutre.Clear
-3 StdPicutre.MoveUp
-8 StdPicutre.MoveLeft
-4 StdPicutre.MoveDown
-9 StdPicutre.MoveRight
-13 StdPicutre.Print
-11 StdPicutre.UncheckAll
-10 StdPicutre.CheckAll
093dd4ed-e03c-4fc6-a95a-01f51379cccf StdPicutre.ActivateTask
47f01799-7968-4f44-9acc-fe1bdde8beb2 StdPicutre.ActiveUsers
509c4a7f-6406-4388-bb8c-bc81fb5131aa StdPicutre.BusinessProcess
a24cff7f-a1a5-4403-af82-a7b31852cde9 StdPicutre.BusinessProcessObject
01ec9d9a-7497-4d88-b93f-066c633a4866 StdPicutre.InputOnBasis
80837aab-ad67-4811-9d83-88344439c721 StdPicutre.CalculationType
52b637e5-f95f-4c70-9a72-2a4b5a9df449 StdPicutre.NestedTable
3a32aa35-c679-4c5b-91bd-72ae038e5bb4 StdPicutre.ExternalDataSource
fad46a2b-2e56-47cc-b90c-3c2d4b061937 StdPicutre.ExternalDataSourceCube
32b63e58-c1fa-4f59-b874-bf4a077f816e StdPicutre.ExternalDataSourceCubeDimensionTable
5b612c21-e223-4997-9e61-86f7a67ec945 StdPicutre.ExternalDataSourceTable
2954e819-f3fc-40de-9769-292efce9a355 StdPicutre.ExternalDataSourceFunction
a7707ed1-39b0-418f-974d-4d500d27a9c6 StdPicutre.RestoreValues
f874b0cc-db1d-4577-8c77-d4ba206eb05d StdPicutre.Forward
2c732bfa-f734-48bc-a18b-7554db8a3888 StdPicutre.DataCompositionSelection
a0b879df-db58-4cba-b76e-9bbc4391f3d9 StdPicutre.DataCompositionSelectionDisabled
38a5a658-ec2b-4ddf-8088-c6d2169d3181 StdPicutre.ChooseTopLevel
2f130057-bb2a-4e22-bba5-e108fac26940 StdPicutre.ChooseValue
7168f070-087c-448e-ae3a-6740f424076a StdPicutre.ChooseFromList
c2e2d966-5b7f-4699-903b-28a6f50d5471 StdPicutre.OutputList
003024ed-fa25-42ac-9f53-f5014e383801 StdPicutre.ExecuteTask
a9152be7-62cf-4523-be34-a23f018f497e StdPicutre.GeographicalSchema
e96de06b-fa83-48cf-b033-190a249855c9 StdPicutre.GraphicalSchema
196622f7-0941-435b-992b-722f3082adf4 StdPicutre.Debit
ed067d76-b144-4d00-bb36-d1833dd1350c StdPicutre.DebitCredit
4bf9fbb5-53c5-4b09-bab2-d69bbfab945b StdPicutre.Dendrogram
f3c1376a-d2ee-46c4-9e44-aa2f7dae31c4 StdPicutre.Chart
fa67cb81-8d56-4534-90bd-b62fb0dbf5f0 StdPicutre.GanttChart
1001ae3e-9289-4303-9699-3c0c17e20e61 StdPicutre.AddToFavorites
2a0c2238-cb59-4473-ada6-352b60f3c0a9 StdPicutre.AddListItem
894afc03-9904-465d-b671-f555ffb9b21c StdPicutre.Document
2209b937-6f41-4153-b1ac-ef7e170ad3a7 StdPicutre.DocumentObject
